,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,gender,SeniorCitizen,Partner,Dependents,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year
48,52,1,1,79.75,4217.8,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
49,69,1,1,64.15,4254.1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1
50,43,1,1,90.25,3838.75,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
51,15,1,1,99.1,1426.4,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
52,25,1,1,69.5,1752.65,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0
53,8,1,1,80.65,633.3,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
54,60,1,1,74.85,4456.35,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0
55,18,1,1,95.45,1752.55,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
56,63,1,1,99.65,6311.2,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0
57,66,1,1,108.45,7076.35,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0
58,34,1,0,24.95,894.3,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1
59,72,1,1,107.5,7853.7,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
60,47,1,1,100.5,4707.1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0
61,60,1,1,89.9,5450.7,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
62,72,0,0,42.1,2962.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,18,1,1,54.4,957.1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
64,9,1,0,94.4,857.25,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
65,3,1,1,75.3,244.1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
66,47,1,1,78.9,3650.35,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
67,31,1,0,79.2,2497.2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
68,50,1,0,20.15,930.9,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
69,10,1,1,79.85,887.35,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
70,1,1,0,49.05,49.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
71,52,1,1,20.4,1090.65,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
72,64,1,1,111.6,7099.0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
73,62,1,1,24.25,1424.6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
74,3,1,1,64.5,177.4,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
75,56,1,0,110.5,6139.5,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0
76,46,1,0,55.65,2688.85,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
77,8,1,0,54.65,482.25,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
78,30,1,1,74.75,2111.3,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
79,45,1,1,25.9,1216.6,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0
80,1,1,1,79.35,79.35,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
81,11,0,0,50.55,565.35,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
82,7,1,1,75.15,496.9,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
83,42,1,1,103.8,4327.5,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
84,49,1,1,20.15,973.35,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
85,9,1,1,99.3,918.75,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
86,35,1,1,62.15,2215.45,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
87,48,1,0,20.65,1057.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
88,46,1,1,19.95,927.1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
89,29,0,0,33.75,1009.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
90,30,1,0,82.05,2570.2,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
91,1,1,0,74.7,74.7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
92,66,1,1,84.0,5714.25,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1
93,65,1,1,111.05,7107.0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
94,72,1,1,100.9,7459.05,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
95,12,1,1,78.95,927.35,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
96,71,1,1,66.85,4748.7,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
97,5,1,0,21.05,113.85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
98,52,1,0,21.0,1107.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
99,25,1,1,98.5,2514.5,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
100,1,1,0,20.2,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
101,1,1,0,19.45,19.45,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
102,38,1,0,95.0,3605.6,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
103,66,0,0,45.55,3027.25,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
104,68,1,1,110.0,7611.85,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
105,5,0,0,24.3,100.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,72,1,1,104.15,7303.05,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0
107,32,0,0,30.15,927.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
108,43,1,0,94.35,3921.3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
109,72,1,0,19.4,1363.25,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
110,55,1,1,96.75,5238.9,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
111,52,1,0,57.95,3042.25,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
112,43,1,1,91.65,3954.1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
113,37,1,1,76.5,2868.15,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
114,64,0,1,54.6,3423.5,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1
115,3,1,0,89.85,248.4,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
116,36,0,0,31.05,1126.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
117,10,1,1,100.25,1064.65,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0
118,41,1,0,20.65,835.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
119,27,1,1,85.2,2151.6,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
120,56,1,1,99.8,5515.45,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
121,6,1,0,20.7,112.75,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
122,3,1,1,74.4,229.55,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
123,7,1,0,50.7,350.35,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
124,4,1,0,20.85,62.9,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
125,33,1,1,88.95,3027.65,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
126,27,1,1,78.05,2135.5,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
127,72,1,1,23.55,1723.95,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
128,1,1,0,19.75,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
129,71,0,1,56.45,3985.35,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
130,13,1,1,85.95,1215.65,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
131,25,0,1,58.6,1502.65,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0
132,67,1,0,50.55,3260.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
133,1,0,1,35.45,35.45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
134,2,1,0,44.35,81.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,43,1,1,25.7,1188.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
136,23,1,1,75.0,1778.5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
137,64,1,0,20.2,1277.75,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
138,57,1,1,19.6,1170.55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
139,1,1,1,70.45,70.45,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
140,72,1,1,88.05,6425.65,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
141,8,1,0,71.15,563.65,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
142,61,1,1,101.05,5971.25,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
143,64,1,1,84.3,5289.05,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
144,71,1,0,23.95,1756.2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
145,65,1,1,99.05,6416.7,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1
146,3,1,0,19.6,61.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
147,1,1,1,45.65,45.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,30,1,0,64.5,1929.95,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
149,15,1,1,69.5,1071.4,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
150,8,1,1,68.55,564.35,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0
151,7,1,0,95.0,655.5,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
152,70,1,1,108.15,7930.55,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
153,62,1,0,86.1,5215.25,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1
154,6,1,0,19.7,113.5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0
155,14,1,1,80.9,1152.8,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
156,22,1,1,84.15,1821.95,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
157,22,1,0,20.15,419.9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
158,16,1,0,64.25,1024.0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
159,10,1,0,25.7,251.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,13,1,1,56.0,764.55,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
161,20,1,0,82.4,1592.35,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
162,2,1,1,69.7,135.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
163,53,1,1,73.9,3958.25,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
164,11,1,0,20.6,233.9,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
165,69,1,0,19.9,1363.45,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
166,4,1,1,70.9,273.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
167,72,1,1,89.05,6254.45,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
168,58,0,1,45.3,2651.2,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
169,16,1,0,20.4,321.4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
170,43,1,1,84.25,3539.25,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
171,2,1,1,104.4,242.8,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
172,14,1,0,81.95,1181.75,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
173,53,1,1,94.85,5000.2,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0
174,32,1,0,20.55,654.55,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
175,34,1,0,24.7,780.2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
176,15,1,1,74.45,1145.7,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
177,7,1,0,76.45,503.6,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
178,15,1,1,105.35,1559.25,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
179,61,1,1,20.55,1252.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
180,1,0,0,29.95,29.95,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,1,1,0,45.3,45.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
182,8,1,0,84.5,662.65,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
183,33,1,0,74.75,2453.3,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
184,13,1,1,79.25,1111.65,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
185,1,0,1,24.8,24.8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
186,20,1,1,51.8,1023.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,3,0,0,30.4,82.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
188,13,1,0,19.65,244.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
189,40,1,0,56.6,2379.1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
190,43,1,1,71.9,3173.35,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
191,6,1,1,91.0,531.0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
192,69,1,0,19.75,1375.4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
193,72,1,0,109.7,8129.3,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1
194,59,1,0,19.3,1192.7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
195,20,1,1,96.55,1901.65,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
196,24,1,1,24.1,587.4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
197,59,1,1,111.35,6519.75,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
198,72,1,1,112.25,8041.65,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1
199,1,1,0,20.75,20.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
200,27,1,1,101.9,2681.15,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0
201,14,1,1,80.05,1112.3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
202,71,1,0,105.55,7405.5,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1
203,13,1,1,78.3,1033.95,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
204,44,1,0,68.85,2958.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
205,33,1,1,79.95,2684.85,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
206,72,0,1,55.45,4179.2,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
207,1,1,0,79.9,79.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
208,19,1,1,106.6,1934.45,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
209,64,1,1,102.45,6654.1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0
210,2,1,1,46.0,84.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,1,0,0,25.25,25.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
212,61,1,0,19.75,1124.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
213,29,1,0,20.0,540.05,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
214,23,1,0,86.8,1975.85,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
215,57,0,1,58.75,3437.45,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
216,72,0,0,45.25,3139.8,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1
217,66,0,1,56.6,3789.2,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
218,65,1,1,84.2,5324.5,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
219,8,1,1,80.0,624.6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
220,4,1,1,70.15,268.35,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
221,71,1,0,24.75,1836.9,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
222,1,1,1,20.2,20.2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
223,4,1,0,50.05,179.35,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
224,12,1,1,19.35,219.35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
225,24,0,1,50.6,1288.75,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
226,31,1,1,81.15,2545.75,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0
227,1,1,0,55.2,55.2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
228,30,1,1,89.9,2723.15,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
229,47,1,1,85.3,4107.25,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1
230,54,1,1,108.0,5760.65,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
231,50,1,1,93.5,4747.5,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
232,1,1,1,84.6,84.6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
233,72,1,0,20.25,1566.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
234,29,1,0,25.15,702.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
235,2,1,1,54.4,114.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
236,10,0,1,29.6,299.05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
237,18,1,1,73.15,1305.95,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
238,11,1,1,95.0,1120.3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
239,16,1,0,19.75,284.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
240,72,1,0,86.6,6350.5,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
241,72,1,0,109.2,7878.3,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
242,41,1,1,74.7,3187.65,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0
243,65,1,0,94.4,6126.15,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0
244,13,1,1,54.8,731.3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
245,4,1,0,75.35,273.4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
246,41,1,0,65.0,2531.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
247,15,1,1,74.4,1074.3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
248,1,1,1,48.55,48.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
